Nodes,Protocol,Run,Throughput,PDR,Detection_Time,Delay
10,pgh,1,1.0156,45.74,N/A,0.086285
20,pgh,1,1.4448,48.96,N/A,0.114985
30,pgh,1,1.5504,37.82,N/A,0.174041
40,pgh,1,0.8372,14.35,N/A,0.301554
50,pgh,1,1.2201,19.67,N/A,0.290835
10,gpsr,1,0.6589,59.35,N/A,0.009205
20,gpsr,1,0.8090,63.04,N/A,0.002299
30,gpsr,1,0.5446,30.97,N/A,0.002618
40,gpsr,1,0.9701,43.53,N/A,0.018385
50,gpsr,1,1.1399,45.92,N/A,0.031358
10,cbrp,1,0.6931,62.76,N/A,0.004193
20,cbrp,1,0.8307,64.74,N/A,0.011579
30,cbrp,1,0.7127,40.64,N/A,0.013596
40,cbrp,1,1.1506,51.62,N/A,0.040011
50,cbrp,1,0.7178,29.11,N/A,0.116671
10,cr-ed,1,0.9357,84.29,N/A,0.010437
20,cr-ed,1,1.1697,92.82,N/A,0.013130
30,cr-ed,1,1.1801,71.88,N/A,0.053887
40,cr-ed,1,1.3764,63.09,N/A,0.105724
50,cr-ed,1,0.9004,38.81,N/A,0.185144
10,aodv,1,1.0890,98.10,N/A,0.008401
20,aodv,1,1.1623,90.57,N/A,0.000966
30,aodv,1,1.1936,67.88,N/A,0.036644
40,aodv,1,1.0918,48.98,N/A,0.101950
50,aodv,1,0.5865,23.63,N/A,0.171564
10,olsr,1,0.9357,84.29,N/A,0.010437
20,olsr,1,1.1697,92.82,N/A,0.013130
30,olsr,1,1.1801,71.88,N/A,0.053887
40,olsr,1,1.3764,63.09,N/A,0.105724
50,olsr,1,0.9004,38.81,N/A,0.185144
